ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
34304-043,Kathmandu Valley Water Supply Improvement Project,Nepal,Sovereign,Loan,Active,2776 | 3255,16/09/2011,"170,000,000.00","Anamnagar, Arubari, Bagbazar, Balaju, Balkhu, Bansbari, Bansbari, Bhaktapur, Bode, Chabahil, Chakupat, Chyasal, Dilli Bazaar, Ekantakuna, Gabahal, Gaushala, Ghattekulo, Gokarna, Guhyeshwari, Gyaneshwar, Kathmandu District, Khumaltar, Kupandole, Lagan Tole, Lagankhel, Lainchaur, Lalitpur, Mahadev Khola, MahankalChaur2, Maitidevi, Mangal Bazaar, Naksal, Narayan Gopal Chowk, Nayan Baneshwar, Pulchowk, Putalisadak, Sankha Park, Singha Durbar, Sundhara, Tangal, Teku, Thapathali, Tinkune, Tripureshwor",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban water supply",B,C,B,Sectors Group,Ministry of Water Supply (formerly Ministry of Water Supply and Sanitation),"Dasgupta, Saugata"
34418-025,Climate-Resilient Integrated Southwest Project for Water Resources Management (formerly Southwest Area Integrated Water Resources Planning and Management Project- Second Additional Financing),Bangladesh,Sovereign,Loan,Active,4440,12/03/2024,"71,000,000.00","Gopalganj, Madaripur","Agriculture, natural resources and rural development","Agricultural production | Rural water policy, institutional and capacity development | Water-based natural resources management",B,C,B,Sectors Group,Bangladesh Water Development Board,"Qanet, Hizbullah"
34418-027,Capacity Development for Portfolio Quality Improvement,Bangladesh,Sovereign,Technical Assistance,Active,10403,27/11/2024,"1,000,000.00",Nation-wide,Public sector management,Economic affairs management,,,,South Asia Department,Economic Relations Division,"Haque, Mohammed Sayeedul"
35173-015,Urban Water Supply and Sanitation (Sector) Project,Nepal,Sovereign,Loan,Active,3711,26/09/2018,"130,000,000.00",Nation-wide,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,B,B,Sectors Group,Ministry of Water Supply (formerly Ministry of Water Supply and Sanitation),"Paudel, Shiva Prasad"
35182-043,Flood Management in Selected River Basins Sector Project,Indonesia,Sovereign,Loan,Active,3440,30/09/2016,"108,700,000.00","Banten, Provinsi Maluku","Agriculture, natural resources and rural development",Rural flood protection,B,C,A,Sectors Group,"Directorate General of Water Resources, Ministry of Public Works & Housing, Republic of Indonesia","Lawira, Helena"
37075-023,Qaisarâ€“Dari Bum Road Project,Afghanistan,Sovereign,Grant,Active,0555,06/12/2017,"330,000,000.00",,Transport,Road transport (non-urban),B,C,B,Sectors Group,,ADB Disclosure
37113-013,Power System Efficiency Improvement Project,Bangladesh,Sovereign,Grant | Loan,Active,0583 | 0584 | 2769,11/08/2011,"300,000,000.00","Ashuganj, Barisal, Chittagong, Dhaka, Hatiya, Kaptai, Khulna, Rajshahi, Sylhet",Energy,Energy efficiency and conservation | Renewable energy generation - solar,A,C,B,Sectors Group,Ashuganj Power Station Company Ltd. (APSCL),"Nahar, Nazmun"
37113-014,Power System Efficiency Improvement (Off-grid Solar Photovoltaic Pumping Systems Component) - Additional Financing,Bangladesh,Sovereign,Grant,Active,0583 | 0584,05/07/2018,0,Nation-wide,Energy,Renewable energy generation - solar,C,C,C,South Asia Department,Ashuganj Power Station Company Ltd. (APSCL),"Ibrahim, Sherine"
37337-012,Institutional Support for Railway Reforms,Bangladesh,Sovereign,Technical Assistance,Active,4847,,"2,000,000.00",Dhaka,Transport,Rail transport (non-urban),,,,South Asia Department,Bangladesh Railway,"Roesner, Markus"
37378-013,Jaffna and Kilinochchi Water Supply Project,Sri Lanka,Sovereign,Loan | Technical Assistance,Active,2710 | 2711 | 3603 | 3604 | 7676 | 9429,29/11/2010,"211,100,000.00","Jaffna, Kilinochchi District",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sewerage | Urban water supply",B,C,B,Sectors Group,"Ministry of Public Services, Provincial Councils and Local Government (formerly Ministry of Internal & Home Affairs and Provincial Councils & Local Government)","Dahanayake, Kamal P.S."
